Game Name,Version,Repository,Short Description
"tumiki-fighters","0.2.dfsg1-9",main,"sticky 2D shooter"
"tuxfootball","0.3.1-6",main,"great 2D soccer (sometimes called football) game"
"tuxmath","2.0.3-5",main,"math game for kids with Tux"
"tuxpuck","0.8.2-8",main,"air hockey game for single players"
"tuxtype","1.8.3-4",main,"Educational Typing Tutor Game Starring Tux"
"tworld","1.3.2-3",main,"Chip's Challenge Game Engine Emulation"
"typespeed","0.6.5-2.1+b3",main,"Zap words flying across the screen by typing them correctly"
"uci2wb","4.0-1",main,"protocol adapter between XBoard/CECP and UCI/USI/UCCI engines"
"ufoai","2.5-4",main,"UFO: Alien Invasion -- build your team and stop the aliens"
"ufoai-maps","2.5-1",main,"UFO: Alien Invasion -- maps"
"ufoai-misc","2.5-4",main,"UFO: Alien Invasion -- miscellaneous files and documentation"
"ufoai-sound","2.5-1",main,"UFO: Alien Invasion -- sound files"
"ufoai-textures","2.5-1",main,"UFO: Alien Invasion -- textures"
"uhexen2","1.5.9+dfsg-1",contrib,"Hexen II - engine package"
"uligo","0.3-7",main,"tsumego (go problems) practice tool"
"unknown-horizons","2019.1-1",main,"2D realtime strategy simulation"
"uqm","0.6.2.dfsg-9.5",contrib,"The Ur-Quan Masters - An inter-galactic adventure game"
"uqm-content","0.6.0+deb1-6",non-free,"The Ur-Quan Masters - Game data files"
"uqm-russian","1.0.2-5",contrib,"Russian addon for 'The Ur-Quan Masters' game"
"uqm-voice","0.6.0+deb1-6",non-free,"The Ur-Quan Masters - Voice files"
"val-and-rick","0.1a.dfsg1-6",main,"shooter game"
"vcmi","0.99+dfsg+git20190113.f06c8a87-1",contrib,"Rewrite of the Heroes of Might and Magic 3 game engine"
"vectoroids","1.1.0-15",main,"vector-based rock-shooting"
"viruskiller","1.03-1+dfsg1-2",main,"Game about viruses invading your computer"
"vitetris","0.57.2-2",main,"Virtual terminal *tris clone"
"vodovod","1.10-4",main,"puzzle game, you must lead the water to the storage tank"
"vor","0.5.7-3",main,"2D action game about dodging rocks in space"
"wallstreet","1.14-1.1",main,"fill your console with Wall Street-like news and stats"
"warmux","1:11.04.1+repack2-4",main,"turn-based artillery game on 2D maps"
"warzone2100","3.2.1-3+deb10u1",main,"3D real time strategy game"
"werewolf","1.5.2.0-4+b1",main,"game engine for playing werewolf within a chat client"
"wesnoth","1:1.14.5-1",main,"fantasy turn-based strategy game - complete suite (metapackage)"
"wfut","0.2.3-6",main,"WorldForge Update Tool (executable)"
"whichwayisup","0.7.9-6",main,"2D platform game with a slight rotational twist"
"widelands","1:19+repack-6+b1",main,"fantasy real-time strategy game"
"wing","0.7-31",main,"Galaga-like arcade game"
"wizznic","0.9.2-preview2+dfsg-4",main,"implementation of the arcade classic Puzznic"
"wmpuzzle","0.5.2-2+b1",main,"WindowMaker dock app 4x4 puzzle"
"wolf4sdl","1.7+svn262+dfsg1-5",contrib,"SDL-Port of Wolfenstein 3-D and Spear of Destiny"
"wordplay","7.22-21",main,"anagram generator"
"wordwarvi","1.00+dfsg1-4",main,"retro-styled side-scrolling shoot'em up arcade game"
"wordwarvi-sound","1.00+dfsg1-4",main,"retro-styled side-scrolling shoot'em up arcade game [Sound Files]"
"xabacus","8.2.1-1",main,"simulation of the ancient calculator (plain X version)"
"xball","3.0.1-2",main,"Simulate bouncing balls in a window"
"xbill","2.1-8+b2",main,"Get rid of those Wingdows Viruses!"
"xblast-tnt","2.10.4-4+b1",main,"multiplayer blast-the-others game inspired by Dynablaster"
"xblast-tnt-images","20050106-3",main,"image files for xblast-tnt"
"xblast-tnt-levels","20050106-3",main,"level files for xblast-tnt"
"xblast-tnt-models","20050106-4",main,"player models for xblast-tnt"
"xblast-tnt-sounds","20040429-3",main,"sound files for xblast-tnt"
"xboard","4.9.1-1",main,"X Window System Chess Board"
"xbomb","2.2b-1+b1",main,"minesweeper game with squares, hexagons or triangles"
"xbubble","0.5.11.2-3.4",main,"A nice Puzzle Bubble clone"
"xchain","1.0.1-9",main,"strategy game for 2-4 players"
"xcowsay","1.4-2",main,"Graphical configurable talking cow"
"xdemineur","2.1.1-20",main,"Yet another minesweeper for X"
"xdesktopwaves","1.3-4+b1",main,"Simulation of water waves on the X Window System"
"xfireworks","1.3-11",main,"Fireworks in your root window"
"xfishtank","2.5-1+b1",main,"turns your X root into an aquarium"
"xflip","1.01-27",main,"programs to mirror-image or melt your display"
"xfrisk","1.2-6",main,"Server and X11 client for playing risk with humans or AIs"
"xgalaga","2.1.1.0-5+b1",main,"X version of the famous Galaga game"
"xgalaga++","0.9-2",main,"classic single screen vertical shooter, inspired by xgalaga"
"xgammon","0.99.1128-3+b2",main,"Implementation of backgammon under X"
"xinv3d","1.3.6-6+b2",main,"3D space invaders for X"
"xjig","2.4-14.1",main,"X11 jigsaw puzzle"
"xjokes","1.0-16",main,"X11 jokes"
"xjump","2.7.5-6.2",main,"jumping game for X"
"xletters","1.1.1-5+b1",main,"Type falling words before they land"
"xmabacus","8.2.1-1",main,"simulation of the ancient calculator (Motif version)"
"xmahjongg","3.7-4+b1",main,"tile-based solitaire game"
"xmille","2.0-13+b1",main,"The classic game of Mille Bournes"
"xmoto","0.5.11+dfsg-8+b1",main,"2D motocross platform game"
"xmountains","2.9-6",main,"Fractal landscape generator for X"
"xmpuzzles","7.7.1-1.1",main,"collection of puzzles for X (Motif version)"
"xonix","1.4-32",main,"game to carve up the screen whilst dodging monsters"
"xpat2","1.07-20",main,"Generic patience game for X11"
"xpenguins","2.2-11",main,"little penguins walk on your windows"
"xphoon","20000613+0-7",main,"sets the root window to a picture of the moon"
"xpilot-extra","4.7.3",main,"Maps, utilities and configs for XPilot"
"xpilot-ng","1:4.7.3-2.3",main,"Multi-player tactical game for X (NG version)"
"xpilot-ng-client-sdl","1:4.7.3-2.3",main,"Client for XPilot NG"
"xpilot-ng-client-x11","1:4.7.3-2.3",main,"Client for XPilot NG"
"xpilot-ng-utils","1:4.7.3-2.3",main,"Utilities for XPilot NG"
"xpuzzles","7.7.1-1.1",main,"collection of puzzles for X (plain X version)"
"xqf","1.0.6-2",main,"X-based Quake Server Browser"
"xracer","0.96.9.1-9",main,"Futuristic racing game"
"xscavenger","1.4.5-4",main,"Lode-runner-like platform game for X"
"xscorch","0.2.1-1+nmu2",main,"Clone of Scorched Earth"
"xshisen","1:1.51-6",main,"Shisen-sho puzzle game for X11"
"xshogi","1.4.2-2+b1",main,"X11 frontend to gnushogi"
"xskat","4.0-7",main,"3-player card game "Skat"
"xsnow","1:1.42-9",non-free,"brings Christmas to your desktop"
"xsok","1.02-19",main,"generic Sokoban game for X11"
"xsol","0.31-14",main,"Solitaire game for the X Window system"
"xsoldier","1:1.8-6",main,"shoot 'em up game with the "not shooting" bonus"
"xsystem35","1.7.3-pre5-7",main,"System 3.5 games engine for X Window System"
"xteddy","2.2-3",main,"cuddly teddy bear (or other image) for your X desktop"
"xtron","1.1a-14+b2",main,"Tron game for X11"
"xvier","1.0-7.6",main,"a "Four in a row" game"
"xwelltris","1.0.1-17",main,"3D Tetris like popular game similar to Welltris"
"xye","0.12.2+dfsg-8",main,"puzzle game - get all the gems in the room"
"xzip","1:1.8.2-4+b1",main,"Interpreter of Infocom-format story-files"
"yahtzeesharp","1.1-6.1",main,"game similar to poker with dice and less money"
"yamagi-quake2","7.40+ctf1.06~dfsg-1",contrib,"enhanced version of id Software's Quake II - client"
"yamagi-quake2-core","7.40+ctf1.06~dfsg-1",contrib,"enhanced version of id Software's Quake II - non-GUI part"
"zangband","1:2.7.5pre1-12",non-free,"A single-player, text-based, roguelike game"
"zatacka","0.1.8-5.2",main,"arcade multiplayer game like nibbles"
"zaz","1.0.0~dfsg1-5+b1",main,"arcade action puzzle game"
"zec","0.12-5",main,"Z-Shell Empire client"
"zivot","20013101-3.1+b3",main,"the game of life, simple console version"
"zoom-player","1.1.5~dfsg-5",main,"player for Z-Code stories or games "
